Chemical Name,Canonical SMILES
Heptanoic Acid,CCCCCCC(=O)O
Ethyl Acetate,CCOC(=O)C
Propionic Acid,CCC(=O)O
Isopropylamine,CC(C)N
Diethylene Triamine,C(CNCCN)N
Cyclohexanone,C1CCC(=O)CC1
Diethyl Carbonate,CCOC(=O)OCC
Propylene Carbonate,CC1COC(=O)O1
Methyl Methacrylate,CC(=C)C(=O)OC
Butyl Acrylate,CCCCOC(=O)C=C
Triethylene Glycol,C(COCCOCCO)O
"1,4-Dioxane",C1COCCO1
Isopropyl Ether,CC(C)OC(C)C
Ethyl Benzoate,CCOC(=O)C1=CC=CC=C1
Hexylamine,CCCCCCN
Isophorone,CC1=CC(=O)CC(C1)(C)C
Dimethyl Carbonate,COC(=O)OC
N-Butyl Acetate,CCCCOC(=O)C
Methyl Methanesulfonate,COS(=O)(=O)C
N-Ethylpyrrolidone,CCN1CCCC1=O
"1,2-Dichloroethane",C(CCl)Cl
tert-Butyl Alcohol,CC(C)(C)O
"1,3-Dioxolane",C1COCO1
Trichloroethylene,C(=C(Cl)Cl)Cl
Propyl Acetate,CCCOC(=O)C
2-Methyl-2-butene,CC=C(C)C
Methyl Acrylate,COC(=O)C=C
N-Butyl Propionate,CCCCOC(=O)CC
Dibutyl Ether,CCCCOCCCC
Diethylene Glycol Diethyl Ether,CCOCCOCCOCC
Methyl tert-Butyl Ether (MTBE),No result found
Diethyl Malonate,CCOC(=O)CC(=O)OCC
2-Methylpentane,CCCC(C)C
Tetraethyl Lead,CC[Pb](CC)(CC)CC
"1,2-Dibromoethane",C(CBr)Br
Methyl Chloride,CCl
Isobutyl Propionate,CCC(=O)OCC(C)C
Ethyl Thiocyanate,CCSC#N
Propylamine,CCCN
Diethylamine,CCNCC
